id,trial,trialord,blink,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8011,1,1,2,3.6139631,0,1,left,second,red,4,
8011,2,1,0,3.6139631,0,1,left,second,red,4,0
8011,3,2,2,3.6139631,0,1,left,second,red,4,1
8011,4,4,1,3.6139631,0,1,left,second,red,4,
8011,5,3,0,3.6139631,0,1,left,second,red,4,1
8011,6,4,1,3.6139631,0,1,left,second,red,4,0
8011,7,7,5,3.6139631,0,1,left,second,red,4,
8011,8,5,2,3.6139631,0,1,left,second,red,4,0
8011,9,6,1,3.6139631,0,1,left,second,red,4,1
8011,10,10,3,3.6139631,0,1,left,second,red,4,
8011,11,7,0,3.6139631,0,1,left,second,red,4,1
8011,12,8,4,3.6139631,0,1,left,second,red,4,0
8011,13,13,2,3.6139631,0,1,left,second,red,4,
8012,1,1,3,10.349076,1,1,right,first,blue,5,
8012,2,1,0,10.349076,1,1,right,first,blue,5,1
8012,3,2,2,10.349076,1,1,right,first,blue,5,0
8012,4,4,1,10.349076,1,1,right,first,blue,5,
8012,5,3,1,10.349076,1,1,right,first,blue,5,0
8012,6,4,1,10.349076,1,1,right,first,blue,5,1
8012,7,7,2,10.349076,1,1,right,first,blue,5,
8012,8,5,2,10.349076,1,1,right,first,blue,5,1
8012,9,6,2,10.349076,1,1,right,first,blue,5,0
8012,10,10,3,10.349076,1,1,right,first,blue,5,
8012,11,7,1,10.349076,1,1,right,first,blue,5,0
8012,12,8,4,10.349076,1,1,right,first,blue,5,1
8012,13,13,2,10.349076,1,1,right,first,blue,5,
8013,1,1,1,11.104723,0,1,left,second,red,4,
8013,2,1,0,11.104723,0,1,left,second,red,4,0
8013,3,2,2,11.104723,0,1,left,second,red,4,1
8013,4,4,1,11.104723,0,1,left,second,red,4,
8013,5,3,1,11.104723,0,1,left,second,red,4,1
8013,6,4,1,11.104723,0,1,left,second,red,4,0
8013,7,7,1,11.104723,0,1,left,second,red,4,
8013,8,5,0,11.104723,0,1,left,second,red,4,0
8013,9,6,0,11.104723,0,1,left,second,red,4,1
8013,10,10,3,11.104723,0,1,left,second,red,4,
8013,11,7,1,11.104723,0,1,left,second,red,4,1
8013,12,8,1,11.104723,0,1,left,second,red,4,0
8013,13,13,2,11.104723,0,1,left,second,red,4,
8014,1,1,0,7.983573,1,1,left,second,red,4,
8014,2,1,0,7.983573,1,1,left,second,red,4,0
8014,3,2,0,7.983573,1,1,left,second,red,4,1
8014,4,4,1,7.983573,1,1,left,second,red,4,
8014,5,3,2,7.983573,1,1,left,second,red,4,1
8014,6,4,1,7.983573,1,1,left,second,red,4,0
8014,7,7,1,7.983573,1,1,left,second,red,4,
8014,8,5,0,7.983573,1,1,left,second,red,4,0
8014,9,6,0,7.983573,1,1,left,second,red,4,1
8014,10,10,0,7.983573,1,1,left,second,red,4,
8014,11,7,0,7.983573,1,1,left,second,red,4,1
8014,12,8,0,7.983573,1,1,left,second,red,4,0
8014,13,13,0,7.983573,1,1,left,second,red,4,
8017,1,1,2,9.9876795,0,1,right,first,blue,5,
8017,2,1,3,9.9876795,0,1,right,first,blue,5,1
8017,3,2,1,9.9876795,0,1,right,first,blue,5,0
8017,4,4,2,9.9876795,0,1,right,first,blue,5,
8017,5,3,0,9.9876795,0,1,right,first,blue,5,0
8017,6,4,0,9.9876795,0,1,right,first,blue,5,1
8017,7,7,0,9.9876795,0,1,right,first,blue,5,
8017,8,5,0,9.9876795,0,1,right,first,blue,5,1
8017,9,6,0,9.9876795,0,1,right,first,blue,5,0
8017,10,10,0,9.9876795,0,1,right,first,blue,5,
8017,11,7,0,9.9876795,0,1,right,first,blue,5,0
